,topic,r2,slope,lower_95,high_95,lower_99,high_99,description,description_fr,95_significant,99_significant
64,64,0.4652600884876035,-0.0003749237551310199,-0.9622351337018421,-0.35829311117762414,-0.9769879604736701,-0.12287619760959965,Higgs sector beyond the SM,Higgs au-delà du Modèle Standard,True,True
34,34,0.33821897686278796,-0.0003497955706796956,-0.9470707524283896,-0.19954509996931433,-0.967649872872484,0.04912763799335714,Higgs boson,Boson de Higgs,True,False
57,57,0.8294362667288532,-0.00028330177170381393,-0.9906097659081539,-0.7924410480582936,-0.9943101976357449,-0.6786100921015689,Chiral symmetry,Symétrie chirale,True,True
37,37,0.6899880560150513,-0.0002539048989787021,-0.9814625444650841,-0.6264762084230955,-0.9887472665006366,-0.44957600038686374,Supersymmetric particles,Phénoménologie de la supersymétrie et superpartenaires,True,True
70,70,0.524360599014196,-0.0002482769325035261,-0.9680153779064967,-0.42964312982640834,-0.9805325573070633,-0.2050829692456024,Heavy quarks and ions,Quarks et ions lourds,True,True
47,47,0.5005799142477367,-0.0002406853621937683,-0.9657661261004321,-0.40105621774566186,-0.9791542262244457,-0.17176135895014602,Events in colliders (kinematics?),Événements dans des détecteurs (cinématique),True,True
59,59,0.6946493707000524,-0.00023152254772394986,-0.9817953636031117,-0.631998730326675,-0.9889500260259888,-0.45684055083997743,Cross-sections in colliders,Sections efficaces dans des collisionneurs,True,True
3,3,0.6017915871997611,-0.0002137514393995779,-0.9747324743037836,-0.5219602110181657,-0.9846414334273526,-0.31636644844055967,Flavor mixing,Changement de saveur,True,True
28,28,0.5477988819623945,-0.00019828851831013252,-0.9701412156386339,-0.4576912496937341,-0.9818341279323604,-0.23829044421783868,Lepton/Meson decay,Désintégrations fortes et faibles,True,True
48,48,0.869889805917198,-0.0001923439310128064,-0.9929919669047844,-0.8410830319108377,-0.9957556406733447,-0.7502110945042276,Top quark,Quark top,True,True
