ngram,count,unithood,len
model,47816,0.25495019681272574,5
theory,40688,0.21694440371248505,6
result,34153,0.1821004281358755,6
field,33030,0.17611270287611533,5
mass,30202,0.16103408574824207,4
energy,25262,0.13469449288696414,6
gauge,20835,0.11109016543820353,5
new,19724,0.10516642299511046,3
function,19521,0.10408404701315917,8
state,19486,0.10389743046454687,5
order,19424,0.10356685257843368,5
decay,18758,0.10001580625341118,5
data,18521,0.09875214562423651,4
parameter,18274,0.09743516598117262,9
quark,18028,0.09612351823949764,5
large,17974,0.09583559556449582,5
effect,17777,0.09478521099087805,6
term,17650,0.09410805951448488,4
case,17311,0.0923005449436401,4
symmetry,16922,0.09022643530334919,8
standard,16105,0.08587027186859937,8
limit,15886,0.08470258546442531,5
quantum,15790,0.08419072293108873,7
such,15749,0.0839721149741429,4
equation,15390,0.08205796237551967,8
space,15206,0.08107689251995791,5
value,15189,0.08098625019634621,5
particle,15074,0.08037308153662011,8
qcd,14852,0.07918939942827928,3
scalar,14393,0.0767420566907638,6
standard model,8954,0.0756690340979558,14
interaction,14120,0.07528644761158791,11
production,13893,0.07407610599630246,10
structure,13598,0.07250319508657027,9
coupling,13487,0.07191135403239987,8
solution,13439,0.07165542276573157,8
effective,13208,0.07042375354489044,9
analysis,13039,0.06952266221016251,8
potential,12611,0.06724060841570362,9
method,12496,0.06662743975597751,6
general,12368,0.06594495637819542,7
different,12239,0.06525714109902439,9
matter,12012,0.06404679948373894,6
system,11842,0.0631403762476221,6
particular,11709,0.062431233362895376,10
phase,11702,0.06239391005317292,5
experiment,11669,0.06221795730733847,10
approach,11607,0.06188737942122527,8
contribution,11501,0.06132219787399947,12
dimension,11487,0.06124755125455455,9
number,11454,0.061071598508720105,6
scale,11389,0.06072502491844013,5
other,11376,0.060655710200384134,5
first,11084,0.059098794994818724,5
form,11004,0.05867224288370491,4
possible,10995,0.05862425577120461,8
calculation,10914,0.058192371758701865,11
spectrum,10752,0.0573286037336964,8
property,10607,0.05655547803230261,8
measurement,10600,0.056518154722580156,11
correction,10401,0.055457106346184545,10
experimental,10390,0.05539845543090639,12
physic,10155,0.054145458604509575,6
process,10094,0.053820212619785285,7
momentum,10022,0.053436315719782856,8
study,9932,0.05295644459477982,5
operator,9888,0.05272184093366722,8
