,article_id
19737,183906
734059,354566
115296,944372
20050,178653
481641,1336623
398380,944363
445393,1242663
220218,583509
171980,499887
202771,560938
666746,1264424
86271,300594
77470,284534
354718,830848
70132,270769
138489,452996
592324,1806605
764289,670299
389605,1080385
463367,1296072
228406,633879
295296,708921
612698,1835408
459219,1331774
68423,267454
602736,1790465
49046,239059
184276,528684
202032,567685
203501,557040
481660,1419759
745116,502573
35938,203646
68836,266450
129315,418156
294765,714770
468797,1300008
625384,760842
184270,528375
428215,1245262
610541,1795115
168084,509912
34921,200824
188500,523181
422671,1207923
423331,1093309
513999,1422794
77430,287740
199433,563918
8379,172673
313993,763323
350872,841336
311181,761261
130242,426410
774703,659500
608012,1838883
325299,807794
274684,691600
759148,725094
217081,584033
42201,222204
219975,583886
219125,590376
469074,1292819
202949,559855
156842,473073
331279,792727
383917,919162
568777,1733942
44552,222055
516135,1414977
111234,379726
3617,155368
422949,1114050
52293,18368
8184,164532
550594,1696868
515904,1424879
489787,1393769
130024,427634
347138,838586
750241,581955
669929,1285365
112551,371428
4063,10147
265759,694963
271392,695160
536490,1599087
170152,495225
139138,443295
58899,253793
780233,1084530
171651,504694
293546,734722
697188,499224
583772,1771941
417852,1187612
104665,352511
184246,528742
99993,358413
67862,262006
91939,30000
395226,926984
420732,1113770
376832,864952
367878,878694
98198,332451
441145,1218014
686625,841261
585552,1714725
35822,199655
155328,468108
17391,182708
374564,858615
550083,1654582
790566,1681948
490386,1382171
447932,1231764
219385,588453
275761,675626
52423,230015
297231,765887
172119,499958
555375,1664555
558818,1711694
445624,1238115
626102,764482
575940,1750014
77834,26024
143736,440065
702017,476274
552682,1669274
294302,722650
662171,1326948
68191,260749
583906,1748798
715190,452377
457179,1309755
671671,1232992
398588,886055
786929,1753617
44004,218035
12429,170868
377290,855937
40264,17436
24946,191337
351805,829071
385811,895761
141786,452628
254100,671254
236598,623775
250955,667297
376896,865628
234302,619337
75932,276557
156511,476750
85247,27829
579994,1726116
412708,1207259
545598,1706796
40982,228723
59376,1359493
509433,1413739
77808,287675
653435,1392385
561218,1653556
50915,229077
594717,1789434
217690,581674
503632,1471278
199561,563515
47347,232994
448615,1264157
324552,791695
350664,818643
