,topic,Experiment-HEP,Phenomenology-HEP,Theory-HEP,topic_x,topic_y,description
0,0,0.06686854520665224,0.4386724647796466,0.479151492460394,0,0,QCD calculation techniques
1,1,0.1954517994136754,0.6265528320673619,0.2332228173828546,1,1,Meson phenomenology
2,2,0.042674794254833524,0.2362757698386795,0.7423864195153624,2,2,M-theory
3,3,0.15549842364870212,0.6553338598021895,0.26547369372971774,3,3,cp violation
4,4,0.17812214589391434,0.6782785244336055,0.2234480544586896,4,4,Partons
5,5,0.08615247195268289,0.5235021270835403,0.4436401956418067,5,5,Loops and Higher-Order expansions in Feynman Diagrams
6,6,0.05301379440955194,0.267591075920146,0.70882756914813,6,6,Topology
7,7,0.05485775585722337,0.23437637061093491,0.7337731229514762,7,7,String theory
8,8,0.06320281298612286,0.3339098518245561,0.6335563515159726,8,8,Quantum Systems
9,9,0.04752112649326335,0.3254283756644234,0.6623252421130266,9,9,Effective Field Theory
10,10,0.07846185743163514,0.42826542824624453,0.5619621725284956,10,10,Cosmology
11,11,0.04697667035221705,0.22315561834674708,0.7631097749774413,11,11,Supergravity
12,12,0.10222488980863466,0.6025723024447811,0.3355548071212673,12,12,Junk?
13,13,0.07690360407558948,0.40816828954422374,0.5640144176400907,13,13,Amplitudes and Feynman Diagram
14,14,0.04110942589927518,0.26172288943829336,0.7103697571302551,14,14,Gauge Theory
15,15,0.048937028313411915,0.20348754928926782,0.763660664608369,15,15,Conformal Field Theory
16,16,0.265288899840732,0.5186220591672407,0.29448613942925883,16,16,Light experiments
17,17,0.05965566558651921,0.31968273278706727,0.6733417245340609,17,17,Scalar fields
18,18,0.0687787687323463,0.4205262529584553,0.5449287353853556,18,18,Renormalization
19,19,0.05040460915429375,0.22971427397868377,0.7491399286231522,19,19,Holographic Principle
20,20,0.30080744350147337,0.5981657804337529,0.20099946667342883,20,20,Particle interactions
21,21,0.23212335512133,0.630591109995598,0.21239386644348077,21,21,Neutrinos oscillations
22,22,0.1900278476340715,0.5650709900352431,0.3016234918776971,22,22,Junk
23,23,0.2963420640877353,0.577989260148802,0.20835276878290623,23,23,Spin and angular momentum
24,24,0.30551790099141746,0.5764182935222683,0.21285207603654824,24,24,Particle zoo
25,25,0.3035375486897698,0.575246598938286,0.2222054410762704,25,25,SM and BSM search
26,26,0.05049140646718837,0.28381990539444835,0.6709464032828169,26,26,Chern–Simons
