ngram,count,unithood,len
model,47937,0.25559535688078533,5
theory,40390,0.2153554970985861,6
result,34048,0.18154057849003857,6
field,32880,0.17531291766777693,5
mass,30008,0.15999969687879106,4
energy,25154,0.13411864753696048,6
gauge,20770,0.11074359184792357,5
new,20036,0.10682997622845433,3
function,19631,0.10467055616594066,8
state,19505,0.1039987365909364,5
order,19388,0.10337490412843245,5
data,18819,0.10034105223813546,4
decay,18781,0.1001384399853564,5
parameter,18476,0.098512210061735,9
quark,17999,0.09596889309921888,5
large,17831,0.09507313366587988,5
effect,17659,0.09415604662698518,6
term,17589,0.0937828135297606,4
case,17240,0.09192197994502659,4
symmetry,17000,0.09064232361168516,8
standard,16316,0.08699530306166205,8
limit,15923,0.08489986581581546,5
such,15610,0.08323098068108266,4
quantum,15603,0.0831936573713602,7
equation,15316,0.0816634016727394,8
value,15264,0.08138614280051543,5
space,15139,0.08071965512690009,5
particle,15111,0.08057036188801026,8
qcd,14666,0.07819766576993968,3
standard model,9051,0.0764887678825774,14
scalar,14332,0.07641681070603952,6
interaction,14072,0.07503051634491961,11
production,13831,0.07374552811018925,10
structure,13662,0.07284443677546133,9
coupling,13531,0.07214595769351245,8
solution,13397,0.07143148290739681,8
effective,13206,0.07041308974211259,9
analysis,13044,0.06954932171710713,8
method,12643,0.06741122926014914,6
potential,12482,0.06655279313653259,9
different,12255,0.06534245152124714,9
general,12158,0.06482525708652166,7
matter,12104,0.06453733441151983,6
system,11915,0.06352960504901345,6
phase,11798,0.06290577258650949,5
experiment,11760,0.06270316033373044,10
particular,11700,0.062383246250395076,10
contribution,11589,0.06179140519622466,12
approach,11519,0.06141817209900007,8
dimension,11461,0.06110892181844256,9
number,11410,0.0608369948476075,6
scale,11301,0.06025581759621494,5
possible,11205,0.059743955062878364,8
other,11204,0.05973862316148944,5
form,11062,0.05898149316426242,4
first,10971,0.05849629013787046,5
calculation,10945,0.05835766070175847,11
spectrum,10840,0.05779781105592159,8
experimental,10471,0.05583033944340913,12
property,10458,0.05576102472535313,8
measurement,10455,0.05574502902118637,11
correction,10357,0.05522250268507195,10
physic,10100,0.05385220402811883,6
process,10031,0.05348430283228316,7
momentum,9972,0.05316972065033673,8
background,9894,0.052753832342000755,10
study,9849,0.05251389677949924,5
constant,9838,0.05245524586422109,8
operator,9797,0.052236637907275264,8
boson,9703,0.05173543917671653,5
gev,9629,0.05134087847393626,3
group,9621,0.05129822326282487,5
distribution,9590,0.05113293431976827,12
higgs,9492,0.050610407983653856,5
paper,9451,0.05039180002670802,5
lattice,9389,0.050061222140594816,7
recent,9354,0.04987460559198253,6
neutrino,9341,0.04980529087392653,8
supersymmetric,9316,0.04967199333920346,14
time,9261,0.049378738762812714,4
collision,9156,0.048818889116975836,9
constraint,9149,0.04878156580725338,10
su,9146,0.04876557010308661,2
