,topic,Accelerators,Astrophysics,Computing,Condensed Matter,Experiment-HEP,Experiment-Nucl,General Physics,Gravitation and Cosmology,Instrumentation,Lattice,Math and Math Physics,Other,Phenomenology-HEP,Quantum Physics,Theory-HEP,Theory-Nucl,topic_x,topic_y,description
0,0,-0.7988947134496716,-0.545549351038537,0.16955163639547285,0.23691283734368554,-0.7998689000743605,-0.582826423786494,0.13838930298413513,-0.20599602631892353,-0.9412753981323919,0.823299283963593,0.04760814983056357,-0.15455891941297423,-0.06797779675473678,-0.12537584486216277,0.09912111191393691,-0.018182421111772873,0,0,QCD calculation techniques
1,1,-0.6801180705619536,-0.6037851302060903,-0.6491929208378667,-0.5348329633665381,0.2727162183554237,0.31843914014890484,-0.37074260174744306,-0.7721606603970842,-0.696029928529391,0.19188759664179042,-0.724590726585178,-0.004403808930161343,0.2885022622316954,-0.4167562429453158,-0.6209014092945029,0.5010231319095783,1,1,Meson phenomenology
2,2,-1.0425751646434758,-0.6009601872683416,-0.4676057953375835,-0.1178255317263607,-1.248989132899605,-1.2996676895808457,-0.1621564016474463,0.037177461904503904,-1.113449312481564,-0.08179963212225383,0.4509614062276978,-0.5112865329492632,-0.6867311983598726,-0.3228369596830723,0.53697418494674,-0.9374134728280336,2,2,M-theory
3,3,-0.2589773198370899,-0.24776618727554378,-0.566644417473827,-0.5541695392926699,0.04403801390273339,-0.3731661944140008,-0.4824407035000861,-0.6468801728149794,-0.5403946272713692,-0.26528988827239475,-0.5660343418141811,-0.09890091749696268,0.33341397793177163,-0.5881352690379238,-0.4913799499035256,-0.33750347315981005,3,3,cp violation
4,4,-0.48136363492264084,-0.709227782791464,0.09965880419574762,-0.7067611863102451,0.1798719474850449,0.31548112195468214,-0.6211078071089047,-0.8010475815561067,-0.5775167767571942,-0.030601505332898696,-0.7066015127866919,0.012429743147511902,0.3678271691160442,-0.6183198085565529,-0.6637167351683787,0.39405616702415625,4,4,Partons distributions
5,5,-0.3742151160041954,-0.4194453225682898,0.09101318410683645,-0.06201448264937977,-0.5464789242066151,-0.5086307594400296,-0.024441748632162048,-0.13294057970075995,-0.8234607127684267,0.022432010431586602,-0.08511602172362435,-0.05293433824509172,0.10881025603184727,-0.0635067295092348,0.022118160049427415,-0.13055866278884545,5,5,Loops and next order expansions in Feynman Diagrams
6,6,-0.6690905535634083,-0.44439876300239894,-0.5621986234389913,0.01578022272925452,-1.0320454287921799,-1.0254890809282529,0.015750257593896755,0.09708041491372393,-0.8868800358030704,-0.2367786618788285,0.8695041850280958,-0.47781785302563556,-0.5622708583487465,-0.0648004031454379,0.49071659038019694,-0.7833584454566396,6,6,Topology
7,7,-0.6560936824554504,-0.4584907744763337,-0.8084497503948331,0.018274715463500478,-0.9978540024071769,-0.9990548672277414,-0.08136881108395269,-0.006503454375040477,-0.8067102393542509,-0.2256388445494231,0.3528378107271336,-0.404332253629652,-0.6948025928197541,-0.3491862874249268,0.5253041803586237,-0.7441216661937312,7,7,String theory
8,8,-0.196442472471981,-0.16109051413792735,-0.14673587926457562,0.1755810070835379,-0.8562487709213914,-0.7159596244428236,0.35403302888928284,0.32401743355673734,-0.8148848996000866,-0.07214181386146545,0.5421072486372627,-0.1274071005470315,-0.3408597856383501,0.3950597519451195,0.37845324479511677,-0.27195238087314755,8,8,Quantum Systems and Equations of motion
9,9,-0.9346310129957688,-0.11238242883323911,-0.6001051853643233,0.08387047552177793,-1.1414231999180597,-0.8562740317435477,0.19003979232134216,0.29723510083663973,-1.1853345462337117,0.02935607560644164,0.3398361175136098,-0.13708801976001728,-0.36658844407364743,0.19638984120701905,0.42286103389381696,-0.28229869407966063,9,9,Effective Field Theory
