,topic,11.30.Pb,12.60.Jv,14.80.Da,14.80.Ly,14.80.Nb,topic_x,topic_y,description
0,0,0.031714123059729864,0.03292712973333154,0.0017927542632993445,0.007120397975735744,0.00035656451282503387,0,0,QCD calculation techniques
1,1,0.015274349015588294,0.030720495094871587,0.0028122927873520565,0.010233461927668167,0.00037953443775185766,1,1,Meson phenomenology
2,2,0.08813890451423362,0.06468515301480374,0.0016769028970477593,0.008860678492329835,0.00044711803649897456,2,2,M-theory
3,3,0.03178532156375216,0.10236572217171291,0.0061754028544647975,0.024422531904839794,0.0016763750663168924,3,3,cp violation
4,4,0.0174247162223539,0.03950355072095858,0.00261755292472951,0.014977897805769266,0.00047724398591203563,4,4,Partons
5,5,0.033374837891370114,0.04927541350664165,0.0030400502424227415,0.01435834766409468,0.0005657194170327462,5,5,Loops and Higher-Order expansions in Feynman Diagrams
6,6,0.060392229211131875,0.05036030440161691,0.0019909123198476844,0.008893414741785713,0.00045997182880237313,6,6,Topology
7,7,0.05996150724898368,0.04170370207781104,0.0015108040359111438,0.006228232562802541,0.000319713792379741,7,7,String theory
8,8,0.04590005935530979,0.03805736112944789,0.0019468056374391497,0.007462639118128073,0.00020184728326158816,8,8,Quantum Systems
9,9,0.04668186762261317,0.03672742131759301,0.0018505796973976314,0.005686462703942622,0.0005648469094989479,9,9,Effective Field Theory
10,10,0.033068090247812466,0.06198429799587476,0.0022915260014064994,0.01557164255034635,0.0006818737459793273,10,10,Cosmology
11,11,0.12551189042269456,0.09589796056220082,0.0033047266391017342,0.01585452511553277,0.0007152605083780837,11,11,Supergravity
12,12,0.02398816324567695,0.03061402375387322,0.0017647930100362196,0.008277947765064774,0.00039324087763781604,12,12,Junk?
13,13,0.04107082940130455,0.03516637179648273,0.0015610802101322404,0.008053949579051216,0.00048641776752199935,13,13,Amplitudes and Feynman Diagram
14,14,0.06949528367315112,0.048368215259089804,0.0014109731681551708,0.006256793526921954,0.00033463099902555216,14,14,Gauge Theory
15,15,0.08068512486594621,0.04457441801372776,0.002374113519277545,0.007888909427330592,0.00043907550147319395,15,15,Conformal Field Theory
16,16,0.019858050172246296,0.04448395312682785,0.0033156150367599437,0.01874698771492816,0.001016665612175524,16,16,Light experiments
17,17,0.029549324757880562,0.03429292675792775,0.0022144810778611528,0.008874585861349244,0.0004427633984786242,17,17,Scalar fields
18,18,0.03996329389546792,0.05772264215616837,0.002892888460283455,0.012547989505492189,0.0008254510626585017,18,18,Renormalization
19,19,0.044707708521166956,0.03124551361448705,0.001066227909918637,0.005474312107202625,0.000186876320477651,19,19,Holographic Principle
20,20,0.018938809546529458,0.05044743865320622,0.005267733709177971,0.02396618772551372,0.0018377415537903163,20,20,Particle interactions
21,21,0.018222044744151046,0.05581220948183235,0.0018994472601170647,0.01145479216466305,0.0009147568320363709,21,21,Neutrinos oscillations
22,22,0.018872310117462435,0.027221728012429846,0.002035803049628906,0.007641011280779311,0.0005013064906253543,22,22,Junk
23,23,0.014505676679530241,0.032787419187226906,0.0023111264033875375,0.013890123571686066,0.0006807141641260359,23,23,Spin and angular momentum
24,24,0.014098835071170084,0.03728183924388322,0.0037079709098219267,0.013785259546367274,0.0009119360997311445,24,24,Particle zoo
25,25,0.026151202934340007,0.07659209529038907,0.0066659541936336586,0.03115859813638762,0.002106587448120452,25,25,SM and BSM search
26,26,0.04952769889182424,0.03649917010435711,0.001352556940033488,0.006586540630827252,0.00024061579075144987,26,26,Chern–Simons
27,27,0.016276104436569547,0.012713304637642666,0.0008117992085562234,0.004335544719904365,0.0001689784506694846,27,27,Black-hole thermodynamics
28,28,0.016487949718185096,0.05398350642705196,0.0038522753692768934,0.017575888938023976,0.0007313753070321809,28,28,Lepton/Hadron decay
29,29,0.022962165428072286,0.051937930938268734,0.0034610351451801894,0.018144107998494422,0.0009711583834869762,29,29,Energy
30,30,0.021683904114191393,0.07606870975402841,0.005334618279063652,0.020864181113379333,0.0014542717300149886,30,30,CP violation bis
31,31,0.022160732522523797,0.044328225346983614,0.0032784847959423298,0.01775427181536468,0.0006649259280366545,31,31,Analysis of collider processes
32,32,0.02694981226710896,0.0794653893454121,0.00815325770594703,0.027338245667142238,0.0017895907105886044,32,32,Early-universe data
33,33,0.03956722672985654,0.12931624684948445,0.00935004967240438,0.055420474176566224,0.005851354686993148,33,33,Dark matter and WIMPs
34,34,0.046139700329603364,0.16948972826046252,0.02666930025890524,0.0460447375875858,0.0025278955110014725,34,34,Higgs in the SM
35,35,0.02696019048256059,0.0422021610069107,0.0032027554260482564,0.012308393360525,0.0005060204121346255,35,35,Perturbative QCD
36,36,0.03279163631400066,0.1085659204802945,0.006746127934754579,0.03631450251291906,0.00345500907737294,36,36,Dark-matter in the universe
37,37,0.06622535286177077,0.22373218457536156,0.014549087999008904,0.09444356107756859,0.0055159574648314365,37,37,Susy phenomenology and superpartners
38,38,0.023353382304210305,0.045553236407679734,0.004277445642556829,0.02161214168027036,0.0007555922894381366,38,38,Instruments
39,39,0.023996453144715824,0.0762158559987793,0.009092857060205082,0.046356748742653574,0.0022146835037574783,39,39,Events in colliders
40,40,0.048365412495126554,0.07976681912370054,0.005098359694270785,0.016528484509901076,0.0006584951336272492,40,40,SU Gauge symmetry
41,41,0.011959805150528413,0.037626632370759514,0.0036116045319657007,0.01423428078343279,0.0008190903355194347,41,41,Decay measurements
42,42,0.1361775102478755,0.114314144851337,0.002711826683088059,0.02015515257992518,0.0008816111219381789,42,42,Supersymmetric gauge theories
43,43,0.031211751420229205,0.04297132577121294,0.0020833724227055277,0.00949045414082274,0.0006377795106584193,43,43,Gravitons and extra-dimensions
44,44,0.022506740793936525,0.031110137036859453,0.0018975405489971495,0.011734600521471687,0.0005562858275512312,44,44,Statistical techniques
45,45,0.019996801631291333,0.07221200584567261,0.0031176154158008593,0.018868093815390934,0.0013030880027893863,45,45,Neutrino physics
46,46,0.02346929250861307,0.0473776639112846,0.0022124033296498096,0.008567640731163582,0.0008402073702755365,46,46,Inflation
47,47,0.02192091555052729,0.07834126654923781,0.008524913073615754,0.048806329502501515,0.002994081431053562,47,47,Events in colliders
48,48,0.0241037617598865,0.08519736385863937,0.009520037899385547,0.03895931200660633,0.0016884780360278016,48,48,Top quark
49,49,0.02649242400860755,0.03150760862535063,0.0014440155195353055,0.007480545800017238,0.00037757737731590983,49,49,States of matter
50,50,0.018363589242359354,0.04444826847448934,0.003151892680311368,0.01798880633276216,0.001005386084752755,50,50,Measurements and results from colliders
51,51,0.03478998666159514,0.1153717704602796,0.007719723730811391,0.03265885032169419,0.0018354361674796074,51,51,Particles properties
52,52,0.01935391604985206,0.030268731367653928,0.0014845531041226536,0.010707219893774645,0.00044057200891114675,52,52,Stars physics
53,53,0.023009559158973795,0.04753727209520621,0.00248940744375377,0.013339821948156744,0.0007306479571528142,53,53,Cosmological sources
54,54,0.02194236968502782,0.05829105348594377,0.005203115529282936,0.02231283933599899,0.001606486892790661,54,54,Measurements and analysis of colliders data
55,55,0.01951899182355829,0.032077264119741336,0.001917991571546805,0.006971815067772834,0.0004531421674630329,55,55,Thermodynamics
56,56,0.027114880448410785,0.08576456871027757,0.007303381407134479,0.024357157134656252,0.0014811063596404774,56,56,Double-beta decay?
57,57,0.016679929324091295,0.027104438158484553,0.0016210303068527256,0.0066243626092938645,0.00047382444762530127,57,57,Chirality and hadronic matter 
58,58,0.06487261723064153,0.10044677397917351,0.005156530217004576,0.01834319559195309,0.0009344091709388092,58,58,Models from gauge theories
59,59,0.015298710102631743,0.04858541657934688,0.005390928624235852,0.026296958712982228,0.0011272182050488687,59,59,Colliders performance
60,60,0.10321266318430354,0.08849092639402376,0.0038152739096864756,0.01626556944975222,0.0009498039745465885,60,60,Supersymmetric Models
61,61,0.01507514985589433,0.032258986147911325,0.0024974426216317733,0.010973166286973668,0.0004656856784407306,61,61,Scattering processes
62,62,0.03204128566672067,0.025485663750850727,0.0010643672705645032,0.004506549808650855,0.00021815715032721662,62,62,Space-time and gravity
63,63,0.018196430326847538,0.028990409823355143,0.0013828285136303548,0.007510051121688809,0.00022124284418051666,63,63,Electromagnetism
