,ngram,partition,termhood_x
0,standard model,0,697792641.1644003
2,dark matter,0,451720393.62828594
8,new physic,0,247440060.56840286
18,other hand,0,155825822.2456133
20,extra dimension,0,152012992.32797533
15,supersymmetric standard model,0,137228780.48330685
29,higgs boson,0,117187218.49471323
30,magnetic moment,0,116233968.324708
35,cp violation,0,110027648.3257601
38,upper bound,0,107161950.24836957
40,low energy,0,103103250.19774617
45,early universe,0,94743730.35374026
46,radiative correction,0,94266580.2426997
67,lower bound,0,77302150.23162933
44,dark matter candidate,0,76106154.52443355
71,supersymmetric model,0,75629268.27633996
77,neutrino oscillation,0,72044726.25401235
82,free parameter,0,68935792.20299023
83,future experiment,0,68218742.21500608
86,linear collider,0,66067364.26251824
87,right-handed neutrino,0,66066226.48581783
88,tree level,0,65110386.22822739
89,sterile neutrino,0,64393444.46786287
65,double beta decay,0,62002198.582573146
93,scalar potential,0,62002130.23436823
99,neutrino mass,0,58653794.37556865
100,relic density,0,58652950.54918802
76,dark matter particle,0,57457468.51532156
113,same time,0,55544760.17194604
118,such model,0,54587920.19911265
120,experimental constraint,0,54348098.306652874
125,higgs mass,0,53152412.29688725
126,simple model,0,52674702.15148151
130,yukawa coupling,0,52195764.25782227
132,massive particle,0,51478178.24926879
134,new particle,0,50760306.255529955
138,gauge symmetry,0,49803486.23105438
141,large value,0,49325090.206484444
153,gauge boson,0,47410860.24688532
154,electroweak scale,0,47171458.28978699
156,supersymmetric extension,0,46932724.20790886
166,dipole moment,0,45736508.2789243
171,cosmic ray,0,44540364.365208775
179,supersymmetric particle,0,43821908.369612336
181,discrete symmetry,0,43583132.17993244
127,direct detection experiment,0,41668178.53183682
197,higgs field,0,41429092.22683753
128,dark matter annihilation,0,41428842.6023896
196,direct detection,0,41428680.43024106
203,near future,0,40232520.2134633
205,lower limit,0,39993320.22599501
217,numerical analysis,0,39036078.172306985
145,dark matter search,0,38557480.29675087
223,minimal model,0,38079010.18551654
160,electroweak symmetry breaking,0,36881828.29008874
246,small value,0,35446048.17825985
247,direct search,0,35206398.288929895
249,electroweak symmetry,0,35206354.28228035
175,electric dipole moment,0,34967316.274565876
251,effective lagrangian,0,34488888.15292976
259,unified theory,0,33531420.172071792
192,cold dark matter,0,33530880.295069136
193,dark matter model,0,33530804.37365909
288,strong constraint,0,31376724.18261561
293,one-loop level,0,30898072.182526868
291,experimental bound,0,30897990.186452966
300,phenomenological implication,0,30419306.161052927
222,spontaneous symmetry breaking,0,30419264.181432128
299,relic abundance,0,30418704.398163177
301,current data,0,30179778.197882656
306,one-loop correction,0,29701164.171196945
232,dark matter mass,0,29461158.456685282
235,neutrino mass matrix,0,29222438.27449401
315,neutral current,0,29222272.194489244
314,stringent constraint,0,29222228.17807374
321,scalar particle,0,28982960.14419314
