ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
standard model,2948,0.06477418053987175,697792641.1644003,2948,0.06477418053987175,697792641.1644003
black hole,2381,0.05231591718637539,564938797.230134,2381,0.05231591718637539,564938797.230134
dark matter,1900,0.04174726696938817,451720393.62828594,1900,0.04174726696938817,451720393.62828594
scalar field,1731,0.03803395743368996,411836974.63403934,1731,0.03803395743368996,411836974.63403934
experimental data,1281,0.028146446835676974,305351442.45943683,1281,0.028146446835676974,305351442.45943683
final state,1272,0.027948696623716716,303215906.7021085,1272,0.027948696623716716,303215906.7021085
large hadron collider,948,0.026284141086833124,226288358.58810195,948,0.026284141086833124,226288358.58810195
effective field theory,838,0.023234293492369367,200123630.42871943,838,0.023234293492369367,200123630.42871943
new physic,1037,0.022785218866976598,247440060.56840286,1037,0.022785218866976598,247440060.56840286
quantum field theory,771,0.021376659048468714,184176866.26949674,771,0.021376659048468714,184176866.26949674
magnetic field,919,0.020192493865719856,219395114.45633623,919,0.020192493865719856,219395114.45633623
boundary condition,891,0.01957727098406572,212735090.32006443,891,0.01957727098406572,212735090.32006443
conformal field theory,662,0.018354537341227353,158210956.39808294,662,0.018354537341227353,158210956.39808294
upper limit,784,0.017226240686315963,187271394.52782074,784,0.017226240686315963,187271394.52782074
cosmological constant,783,0.017204268440542597,187032664.45018,783,0.017204268440542597,187032664.45018
supersymmetric standard model,574,0.015914659265656345,137228780.48330685,574,0.015914659265656345,137228780.48330685
general relativity,665,0.01461154343928586,158924872.43289873,665,0.01461154343928586,158924872.43289873
good agreement,663,0.014567598947739136,158448498.29124135,663,0.014567598947739136,158448498.29124135
other hand,652,0.014325904244232152,155825822.2456133,652,0.014325904244232152,155825822.2456133
effective action,639,0.014040265049178442,152728580.28221363,639,0.014040265049178442,152728580.28221363
extra dimension,636,0.013974348311858358,152012992.32797533,636,0.013974348311858358,152012992.32797533
first time,630,0.013842514837218184,150582674.23848277,630,0.013842514837218184,150582674.23848277
effective theory,625,0.013732653608351372,149390172.27711463,625,0.013732653608351372,149390172.27711463
heavy ion collision,471,0.013058892881749369,112653330.46840878,471,0.013058892881749369,112653330.46840878
