ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
black hole,7057,0.0897680443824057,1227655968.6150098,7057,0.0897680443824057,1227655968.6150098
scalar field,4723,0.060078570726668855,832650486.2478414,4723,0.060078570726668855,832650486.2478414
conformal field theory,3140,0.05040136505009443,558543768.2116402,3140,0.05040136505009443,558543768.2116402
quantum field theory,2353,0.03776892100728415,420405486.0936314,2353,0.03776892100728415,420405486.0936314
boundary condition,2887,0.036723869084881004,514270668.1289326,2887,0.036723869084881004,514270668.1289326
effective action,2729,0.03471404181941125,486557508.1265978,2729,0.03471404181941125,486557508.1265978
cosmological constant,2348,0.02986755961596834,419521544.17074263,2348,0.02986755961596834,419521544.17074263
modulus space,1737,0.022095379494436546,311416318.0826724,1737,0.022095379494436546,311416318.0826724
general relativity,1613,0.02051804670381471,289383050.1316924,1613,0.02051804670381471,289383050.1316924
gauge theory,1530,0.019462251368156543,274620794.0696399,1530,0.019462251368156543,274620794.0696399
central charge,1444,0.018368294755305915,259307308.1253351,1444,0.018368294755305915,259307308.1253351
magnetic field,1393,0.01771955304303403,250221182.09645107,1393,0.01771955304303403,250221182.09645107
exact solution,1172,0.01490833895652253,210781722.07055718,1172,0.01490833895652253,210781722.07055718
supersymmetric gauge theory,872,0.01399681220499438,157089734.0646195,872,0.01399681220499438,157089734.0646195
n =,1100,0.013992468303903396,197912922.06452116,1100,0.013992468303903396,197912922.06452116
finite temperature,1070,0.01361085553197876,192546698.08920166,1070,0.01361085553197876,192546698.08920166
angular momentum,1066,0.013559973829055473,191830216.119491,1066,0.013559973829055473,191830216.119491
special case,1052,0.013381887868823975,189326634.043928,1052,0.013381887868823975,189326634.043928
effective field theory,801,0.012857163504817084,144355388.05213752,801,0.012857163504817084,144355388.05213752
dimensional reduction,992,0.012618662324974701,178588218.04869753,992,0.012618662324974701,178588218.04869753
black hole solution,770,0.012359570410373477,138791002.1794753,770,0.012359570410373477,138791002.1794753
critical point,935,0.011893598058317887,168378958.09209976,935,0.011893598058317887,168378958.09209976
quantum gravity,927,0.011791834652471316,166946320.06564227,927,0.011791834652471316,166946320.06564227
supersymmetric yang-mills theory,710,0.011396487001772947,128020626.04748368,710,0.011396487001772947,128020626.04748368
fixed point,894,0.011372060603354215,161032492.0889636,894,0.011372060603354215,161032492.0889636
scalar field theory,706,0.011332281441199578,127301892.05215237,706,0.011332281441199578,127301892.05215237
effective potential,872,0.011092211237276148,157089352.05692515,872,0.011092211237276148,157089352.05692515
differential equation,869,0.011054049960083683,156551588.04360983,869,0.011054049960083683,156551588.04360983
gauge field,860,0.010939566128506292,154937736.0458219,860,0.010939566128506292,154937736.0458219
free energy,857,0.010901404851313828,154399262.08454075,857,0.010901404851313828,154399262.08454075
