ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
black hole,8028,0.11166104693778119,1570485582.8557947,8028,0.11166104693778119,1570485582.8557947
scalar field,5464,0.07599850030742855,1082910022.4400134,5464,0.07599850030742855,1082910022.4400134
conformal field theory,2945,0.05168810793682523,591082500.1834904,2945,0.05168810793682523,591082500.1834904
conformal field,3174,0.0441470058520824,636318125.1941923,3174,0.0441470058520824,636318125.1941923
effective action,2829,0.039348418259464744,568134469.2322993,2829,0.039348418259464744,568134469.2322993
boundary condition,2760,0.038388700740941216,554467820.1658858,2760,0.038388700740941216,554467820.1658858
quantum field theory,2112,0.03706800813669775,425654728.9823207,2112,0.03706800813669775,425654728.9823207
quantum field,2418,0.03363183999695502,486586936.9955667,2418,0.03363183999695502,486586936.9955667
cosmological constant,2390,0.03324238940972808,481020830.27905995,2390,0.03324238940972808,481020830.27905995
modulus space,1716,0.023867757417193887,346527128.1138376,1716,0.023867757417193887,346527128.1138376
low energy,1626,0.02261595195825015,328496350.324073,1626,0.02261595195825015,328496350.324073
central charge,1587,0.0220735029260412,320679101.2078307,1587,0.0220735029260412,320679101.2078307
general relativity,1562,0.021725779187445716,315667466.15347767,1562,0.021725779187445716,315667466.15347767
gauge theory,1483,0.020626972173483995,299820609.09025496,1483,0.020626972173483995,299820609.09025496
magnetic field,1375,0.019124805622751512,278134519.1217853,1375,0.019124805622751512,278134519.1217853
finite temperature,1346,0.018721446085980753,272306430.15172076,1346,0.018721446085980753,272306430.15172076
anti-de sitter,1319,0.01834590444829763,266877643.44689664,1319,0.01834590444829763,266877643.44689664
angular momentum,1229,0.017094098989353896,248779719.14697865,1229,0.017094098989353896,248779719.14697865
gauge field,1216,0.016913282645284248,246164648.19005087,1216,0.016913282645284248,246164648.19005087
first order,1204,0.016746375250758415,243749378.10864353,1204,0.016746375250758415,243749378.10864353
open string,1166,0.016217835168093282,236102262.13469648,1166,0.016217835168093282,236102262.13469648
heterotic string,1160,0.016134381470830364,234893750.39453992,1160,0.016134381470830364,234893750.39453992
exact solution,1069,0.014868667062342812,216563363.07733792,1069,0.014868667062342812,216563363.07733792
second order,1067,0.014840849163255175,216159595.12124562,1067,0.014840849163255175,216159595.12124562
n =,1060,0.014743486516448438,214750408.08442053,1060,0.014743486516448438,214750408.08442053
quantum gravity,1045,0.01453485227329115,211726633.09940544,1045,0.01453485227329115,211726633.09940544
supersymmetric gauge theory,824,0.01446213953818132,167130985.00824076,824,0.01446213953818132,167130985.00824076
strong coupling,1007,0.014006312190626017,204064515.3164966,1007,0.014006312190626017,204064515.3164966
dimensional reduction,1003,0.013950676392450739,203259433.06136724,1003,0.013950676392450739,203259433.06136724
super yang-mills,998,0.013881131644731643,202249890.6927314,998,0.013881131644731643,202249890.6927314
special case,988,0.013742042149293452,200234302.05203924,988,0.013742042149293452,200234302.05203924
effective field theory,759,0.013321315424125756,153995537.97753572,759,0.013321315424125756,153995537.97753572
fixed point,918,0.012768415681226102,186111372.1077738,918,0.012768415681226102,186111372.1077738
critical point,916,0.012740597782138463,185707404.10610563,916,0.012740597782138463,185707404.10610563
effective theory,912,0.012684961983963185,184900526.08256796,912,0.012684961983963185,184900526.08256796
black hole solution,720,0.012636820955692416,146110754.21962342,720,0.012636820955692416,146110754.21962342
standard model,898,0.012490236690349715,182076078.06374988,898,0.012490236690349715,182076078.06374988
free energy,884,0.012295511396736245,179248108.1127553,884,0.012295511396736245,179248108.1127553
supersymmetric gauge,883,0.012281602447192425,179045932.00975195,883,0.012281602447192425,179045932.00975195
supersymmetric yang-mills,877,0.01219814874992951,177834757.8385778,877,0.01219814874992951,177834757.8385778
differential equation,851,0.011836516061790208,172585591.06022656,851,0.011836516061790208,172585591.06022656
supersymmetric yang-mills theory,672,0.011794366225312923,136402964.8300622,672,0.011794366225312923,136402964.8300622
effective field,836,0.01162788181863292,169554110.9805684,836,0.01162788181863292,169554110.9805684
effective potential,829,0.011530519171826185,168142215.06837717,829,0.011530519171826185,168142215.06837717
extra dimension,824,0.011460974424107088,167132480.06180546,824,0.011460974424107088,167132480.06180546
higher spin,818,0.011377520726844174,165919484.50191537,818,0.011377520726844174,165919484.50191537
scalar field theory,647,0.011355587719906936,131344697.17843145,647,0.011355587719906936,131344697.17843145
other hand,795,0.01105761488733633,161272751.04711092,795,0.01105761488733633,161272751.04711092
anomalous dimension,777,0.010807253795547582,157635129.1383228,777,0.010807253795547582,157635129.1383228
closed string,773,0.010751617997372304,156827409.11738804,773,0.010751617997372304,156827409.11738804
superconformal field theory,594,0.010425377288446244,120616325.03737155,594,0.010425377288446244,120616325.03737155
massive gravity,744,0.010348258460601546,150964856.0923104,744,0.010348258460601546,150964856.0923104
higher order,742,0.010320440561513907,150560690.05297282,742,0.010320440561513907,150560690.05297282
super yang-mills theory,588,0.010320070447148806,119401684.66096964,588,0.010320070447148806,119401684.66096964
electromagnetic field,732,0.010181351066075714,148539200.0788352,732,0.010181351066075714,148539200.0788352
ads/cft correspondence,710,0.009875354176111689,144089294.12553123,710,0.009875354176111689,144089294.12553123
flat space,708,0.009847536277024052,143685640.0640462,708,0.009847536277024052,143685640.0640462
previous work,697,0.009694537832042039,141461099.03861207,697,0.009694537832042039,141461099.03861207
large class,696,0.00968062888249822,141258798.04354617,696,0.00968062888249822,141258798.04354617
\cal n,686,0.009541539387060028,139235618.0923974,686,0.009541539387060028,139235618.0923974
gravitational field,665,0.009249451446639823,134987537.0627283,665,0.009249451446639823,134987537.0627283
higher dimension,651,0.009054726153026351,132154751.05237897,651,0.009054726153026351,132154751.05237897
superconformal field,626,0.00870700241443087,127094281.03710102,626,0.00870700241443087,127094281.03710102
global symmetry,624,0.008679184515343231,126690662.05099352,624,0.008679184515343231,126690662.05099352
free field,618,0.008595730818080316,125475956.27779445,618,0.008595730818080316,125475956.27779445
dark energy,617,0.008581821868536498,125273833.19387795,617,0.008581821868536498,125273833.19387795
supersymmetric theory,608,0.008456641322642124,123452254.05492744,608,0.008456641322642124,123452254.05492744
high energy,598,0.008317551827203932,121427652.04489386,598,0.008317551827203932,121427652.04489386
classical solution,594,0.008261916029028654,120617856.04166344,594,0.008261916029028654,120617856.04166344
bosonic string,589,0.008192371281309556,119605903.28506352,589,0.008192371281309556,119605903.28506352
critical exponent,585,0.00813673548313428,118795125.12287933,585,0.00813673548313428,118795125.12287933
explicit expression,582,0.008095008634502823,118188486.02920395,582,0.008095008634502823,118188486.02920395
space-time dimension,581,0.008081099684959002,117985617.03554577,581,0.008081099684959002,117985617.03554577
entanglement entropy,574,0.007983737038152267,116567216.19741292,574,0.007983737038152267,116567216.19741292
abelian gauge,571,0.00794201018952081,115960145.67394222,571,0.00794201018952081,115960145.67394222
black hole entropy,447,0.007845359676659041,90832835.12110282,447,0.007845359676659041,90832835.12110282
hilbert space,552,0.0076777401481882435,112112800.03811933,552,0.0076777401481882435,112112800.03811933
non-abelian gauge,544,0.00756646855183769,110491864.51481625,544,0.00756646855183769,110491864.51481625
new class,542,0.007538650652750051,110086674.041466,542,0.007538650652750051,110086674.041466
scalar potential,535,0.007441288005943316,108668763.04654065,535,0.007441288005943316,108668763.04654065
n limit,533,0.007413470106855677,108263321.06831297,533,0.007413470106855677,108263321.06831297
electric field,528,0.00734392535913658,107250786.06691368,528,0.00734392535913658,107250786.06691368
recent work,527,0.007330016409592762,107048285.0263786,527,0.007330016409592762,107048285.0263786
conformal symmetry,525,0.007302198510505124,106642287.0628638,525,0.007302198510505124,106642287.0628638
kinetic term,523,0.007274380611417485,106237479.04495366,523,0.007274380611417485,106237479.04495366
initial condition,522,0.0072604716618736645,106035152.0583255,522,0.0072604716618736645,106035152.0583255
chiral symmetry,522,0.0072604716618736645,106034958.41159496,522,0.0072604716618736645,106034958.41159496
infinite number,519,0.007218744813242208,105427117.03807168,519,0.007218744813242208,105427117.03807168
two-point function,511,0.007107473216891653,103805751.0541802,511,0.007107473216891653,103805751.0541802
explicit example,510,0.007093564267347834,103603492.03288475,510,0.007093564267347834,103603492.03288475
n=4 sym,509,0.007079655317804014,103400483.39490342,509,0.007079655317804014,103400483.39490342
spacetime dimension,507,0.007051837418716375,102995237.041696,507,0.007051837418716375,102995237.041696
minimal model,505,0.007024019519628737,102590351.0849634,505,0.007024019519628737,102590351.0849634
anti-de sitter space,398,0.006985353806063309,80894714.35069111,398,0.006985353806063309,80894714.35069111
critical value,502,0.00698229267099728,101981996.05222808,502,0.00698229267099728,101981996.05222808
cosmological model,496,0.006898838973734364,100766656.0779181,496,0.006898838973734364,100766656.0779181
conformal invariance,493,0.006857112125102906,100158039.05647013,493,0.006857112125102906,100158039.05647013
high temperature,485,0.006745840528752352,98536639.11732964,485,0.006745840528752352,98536639.11732964
electric charge,484,0.006731931579208532,98333778.09718576,484,0.006731931579208532,98333778.09718576
gravitational wave,483,0.006718022629664713,98131915.05345638,483,0.006718022629664713,98131915.05345638
arbitrary dimension,481,0.0066902047305770745,97726063.04234715,481,0.0066902047305770745,97726063.04234715
energy-momentum tensor,481,0.0066902047305770745,97725811.06005347,481,0.0066902047305770745,97725811.06005347
late time,473,0.006578933134226521,96104397.07249905,473,0.006578933134226521,96104397.07249905
heterotic string theory,364,0.0063886150387111665,73997004.35444249,364,0.0063886150387111665,73997004.35444249
arbitrary number,457,0.006356389941525412,92861195.03168505,457,0.006356389941525412,92861195.03168505
weak coupling,448,0.006231209395631038,91035840.09959131,448,0.006231209395631038,91035840.09959131
einstein gravity,447,0.006217300446087219,90832927.06642543,447,0.006217300446087219,90832927.06642543
nonlinear sigma model,354,0.006213103636548771,71967877.01223992,354,0.006213103636548771,71967877.01223992
auxiliary field,441,0.006133846748824303,89617349.03933764,441,0.006133846748824303,89617349.03933764
minkowski space,440,0.006119937799280484,89414472.02951412,440,0.006119937799280484,89414472.02951412
spatial dimension,439,0.006106028849736665,89211281.0406341,439,0.006106028849736665,89211281.0406341
green function,437,0.006078210950649026,88806107.0358297,437,0.006078210950649026,88806107.0358297
recent result,437,0.006078210950649026,88806177.02312367,437,0.006078210950649026,88806177.02312367
hole solution,436,0.006064302001105207,88601856.1461347,436,0.006064302001105207,88601856.1461347
boundary state,435,0.006050393051561387,88400557.0567916,435,0.006050393051561387,88400557.0567916
cosmic string,435,0.006050393051561387,88400671.05078274,435,0.006050393051561387,88400671.05078274
complex structure,435,0.006050393051561387,88400871.04267386,435,0.006050393051561387,88400871.04267386
previous result,433,0.006022575152473749,87994727.02674893,433,0.006022575152473749,87994727.02674893
black hole horizon,343,0.006020041094170137,69735329.07451704,343,0.006020041094170137,69735329.07451704
tree level,432,0.00600866620292993,87792114.03218937,432,0.00600866620292993,87792114.03218937
calabi-yau manifold,431,0.005994757253386111,87589629.06045672,431,0.005994757253386111,87589629.06045672
topological string,429,0.005966939354298472,87184141.0558919,429,0.005966939354298472,87184141.0558919
dark matter,427,0.005939121455210833,86778073.10990614,427,0.005939121455210833,86778073.10990614
critical temperature,416,0.005786123010228821,84546868.08016114,416,0.005786123010228821,84546868.08016114
integrable system,415,0.005772214060685002,84344679.04908447,415,0.005772214060685002,84344679.04908447
irreducible representation,412,0.005730487212053544,83736466.03223763,412,0.005730487212053544,83736466.03223763
large number,412,0.005730487212053544,83735690.0293032,412,0.005730487212053544,83735690.0293032
early universe,408,0.0056748514138782674,82924284.06494641,408,0.0056748514138782674,82924284.06494641
particular case,407,0.005660942464334447,82721595.02770779,407,0.005660942464334447,82721595.02770779
antisymmetric tensor,397,0.005521852968896255,80693039.51388063,397,0.005521852968896255,80693039.51388063
upper bound,395,0.005494035069808616,80287351.03764626,395,0.005494035069808616,80287351.03764626
low temperature,388,0.005396672423001882,78866678.11472636,388,0.005396672423001882,78866678.11472636
matrix model,387,0.005382763473458062,78664623.03648718,387,0.005382763473458062,78664623.03648718
quantum fluctuation,382,0.005313218725738965,77650004.03333761,382,0.005313218725738965,77650004.03333761
such theory,381,0.005299309776195146,77446833.03499813,381,0.005299309776195146,77446833.03499813
topological field theory,300,0.00526534206487184,61005810.95605731,300,0.00526534206487184,61005810.95605731
first law,378,0.005257582927563688,76837442.18415612,378,0.005257582927563688,76837442.18415612
gauge symmetry,377,0.005243673978019869,76635655.02924632,377,0.005243673978019869,76635655.02924632
