ngram
black hole
scalar field
conformal field theory
conformal field
effective action
boundary condition
quantum field theory
quantum field
cosmological constant
modulus space
low energy
central charge
general relativity
gauge theory
magnetic field
finite temperature
anti-de sitter
angular momentum
gauge field
first order
open string
heterotic string
exact solution
second order
n =
quantum gravity
supersymmetric gauge theory
strong coupling
dimensional reduction
super yang-mills
special case
effective field theory
fixed point
critical point
effective theory
black hole solution
standard model
free energy
supersymmetric gauge
supersymmetric yang-mills
differential equation
supersymmetric yang-mills theory
effective field
effective potential
extra dimension
higher spin
scalar field theory
other hand
anomalous dimension
closed string
superconformal field theory
massive gravity
higher order
super yang-mills theory
electromagnetic field
ads/cft correspondence
flat space
previous work
large class
\cal n
gravitational field
higher dimension
superconformal field
global symmetry
free field
dark energy
supersymmetric theory
high energy
classical solution
bosonic string
critical exponent
explicit expression
space-time dimension
entanglement entropy
abelian gauge
black hole entropy
hilbert space
non-abelian gauge
new class
scalar potential
n limit
electric field
recent work
conformal symmetry
kinetic term
initial condition
chiral symmetry
infinite number
two-point function
explicit example
n=4 sym
spacetime dimension
minimal model
anti-de sitter space
critical value
cosmological model
conformal invariance
high temperature
electric charge
gravitational wave
arbitrary dimension
energy-momentum tensor
late time
heterotic string theory
arbitrary number
weak coupling
einstein gravity
nonlinear sigma model
auxiliary field
minkowski space
spatial dimension
green function
recent result
hole solution
boundary state
cosmic string
complex structure
previous result
black hole horizon
tree level
calabi-yau manifold
topological string
dark matter
critical temperature
integrable system
irreducible representation
large number
early universe
particular case
antisymmetric tensor
upper bound
low temperature
matrix model
quantum fluctuation
such theory
topological field theory
first law
gauge symmetry
quantum correction
explicit form
general solution
numerical result
harmonic oscillator
important role
noncommutative geometry
yang-mills theory
cosmological solution
nonlinear sigma
new type
chemical potential
large n
einstein equation
previous paper
magnetic flux
fundamental representation
dirac equation
magnetic charge
gauge group
non-linear sigma model
general form
topological charge
perturbative expansion
spontaneous symmetry
black hole background
feynman diagram
new solution
such model
internal space
exact result
integrable model
supersymmetric extension
supersymmetric quantum
superconformal algebra
supersymmetric quantum mechanic
supersymmetric solution
supersymmetric field theory
eleven-dimensional supergravity
superconformal symmetry
gauged supergravity
supersymmetric field
n=2 supergravity
supersymmetric model
superconformal theory
harmonic superspace
supersymmetric su
n=2 supersymmetry
chiral superfields
local supersymmetry
