ngram
black hole
scalar field
conformal field theory
conformal field
effective action
boundary condition
quantum field theory
quantum field
cosmological constant
modulus space
general relativity
low energy
central charge
gauge theory
magnetic field
finite temperature
anti-de sitter
angular momentum
gauge field
first order
open string
heterotic string
quantum gravity
exact solution
second order
n =
supersymmetric gauge theory
strong coupling
special case
effective field theory
dimensional reduction
super yang-mills
black hole solution
effective theory
critical point
fixed point
free energy
effective field
standard model
supersymmetric gauge
supersymmetric yang-mills
differential equation
supersymmetric yang-mills theory
extra dimension
effective potential
higher spin
scalar field theory
other hand
superconformal field theory
anomalous dimension
closed string
higher order
massive gravity
electromagnetic field
\cal n
flat space
super yang-mills theory
previous work
large class
ads/cft correspondence
gravitational field
global symmetry
higher dimension
superconformal field
dark energy
free field
critical exponent
entanglement entropy
high energy
bosonic string
supersymmetric theory
classical solution
explicit expression
space-time dimension
abelian gauge
black hole entropy
hilbert space
gravitational wave
conformal symmetry
electric field
new class
scalar potential
non-abelian gauge
spacetime dimension
recent work
two-point function
kinetic term
initial condition
n limit
explicit example
infinite number
minimal model
electric charge
cosmological model
critical value
high temperature
conformal invariance
anti-de sitter space
n=4 sym
late time
chiral symmetry
energy-momentum tensor
einstein gravity
arbitrary dimension
weak coupling
arbitrary number
nonlinear sigma model
cosmic string
spatial dimension
tree level
minkowski space
recent result
hole solution
dark matter
black hole horizon
green function
boundary state
complex structure
previous result
heterotic string theory
calabi-yau manifold
upper bound
auxiliary field
large number
particular case
topological string
early universe
critical temperature
first law
integrable system
topological field theory
antisymmetric tensor
quantum fluctuation
irreducible representation
low temperature
matrix model
quantum correction
such theory
important role
general solution
gauge symmetry
numerical result
explicit form
yang-mills theory
nonlinear sigma
magnetic flux
cosmological solution
chemical potential
fundamental representation
einstein equation
new type
large n
magnetic charge
noncommutative geometry
previous paper
non-linear sigma model
such model
harmonic oscillator
dirac equation
feynman diagram
gauge group
topological charge
spontaneous symmetry
analytic continuation
new solution
topological field
general form
general class
black hole background
supersymmetric extension
supersymmetric quantum
superconformal algebra
supersymmetric quantum mechanic
supersymmetric field theory
supersymmetric solution
eleven-dimensional supergravity
superconformal symmetry
gauged supergravity
supersymmetric field
superconformal theory
n=2 supergravity
supersymmetric model
harmonic superspace
supersymmetric su
local supersymmetry
n=2 supersymmetry
