ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
standard model,10091,0.13543579017714125,2447086151.1338224,10091,0.13543579017714125,2447086151.1338224
dark matter,6175,0.08287741594924657,1521626613.7220573,6175,0.08287741594924657,1521626613.7220573
experimental data,3390,0.04549869474784548,844804034.2177907,3390,0.04549869474784548,844804034.2177907
high energy,3372,0.04525710875803392,840379950.191301,3372,0.04525710875803392,840379950.191301
new physic,3046,0.04088171805366884,760119554.5327727,3046,0.04088171805366884,760119554.5327727
final state,2948,0.039566416553583623,735956914.3346529,2948,0.039566416553583623,735956914.3346529
supersymmetric standard model,2224,0.037665611864035636,556815429.3444078,2224,0.037665611864035636,556815429.3444078
heavy quark,2597,0.03485548975225803,649242300.6171777,2597,0.03485548975225803,649242300.6171777
low energy,2460,0.03301675194091443,615328110.1928484,2460,0.03301675194091443,615328110.1928484
supersymmetric standard,2264,0.030386148940744005,566739639.3495426,2264,0.030386148940744005,566739639.3495426
next-to-leading order,2216,0.02974191963457982,554837826.3490881,2216,0.02974191963457982,554837826.3490881
top quark,2148,0.028829261450847226,537954108.6960646,2148,0.028829261450847226,537954108.6960646
neutrino mass,1993,0.02674893764969205,499446484.74615216,1993,0.02674893764969205,499446484.74615216
large hadron collider,1560,0.026420123429809164,391607295.14206785,1560,0.026420123429809164,391607295.14206785
chiral perturbation theory,1444,0.024455550149131047,362659069.2136349,1444,0.024455550149131047,362659069.2136349
chiral symmetry,1802,0.024185441868913735,451926944.6728447,1802,0.024185441868913735,451926944.6728447
perturbative qcd,1741,0.023366733792330084,436737028.2285554,1741,0.023366733792330084,436737028.2285554
effective field theory,1368,0.02316841593075573,343674387.08266467,1368,0.02316841593075573,343674387.08266467
magnetic moment,1724,0.02313856924639694,432501392.1149249,1724,0.02313856924639694,432501392.1149249
large hadron,1715,0.023017776251491154,430251725.1500062,1715,0.023017776251491154,430251725.1500062
effective theory,1698,0.022789611705558006,426019876.3457624,1698,0.022789611705558006,426019876.3457624
higgs boson,1689,0.02266881871065222,423774870.33198327,1689,0.02266881871065222,423774870.33198327
radiative correction,1683,0.022588290047381696,422282768.14606106,1683,0.022588290047381696,422282768.14606106
heavy ion,1583,0.021246145659539646,397349925.110414,1583,0.021246145659539646,397349925.110414
cp violation,1553,0.02084350234318703,389866696.19367194,1553,0.02084350234318703,389866696.19367194
good agreement,1552,0.02083008089930861,389618322.1198552,1552,0.02083008089930861,389618322.1198552
heavy ion collision,1217,0.020611083470562664,305925354.9360921,1217,0.020611083470562664,305925354.9360921
chiral perturbation,1497,0.020091901485995486,375890781.21828264,1497,0.020091901485995486,375890781.21828264
effective field,1410,0.018924235868572902,354166705.08393866,1410,0.018924235868572902,354166705.08393866
magnetic field,1322,0.0177431488072719,332184056.1263933,1322,0.0177431488072719,332184056.1263933
extra dimension,1316,0.017662620144001374,330682390.12350357,1316,0.017662620144001374,330682390.12350357
direct detection,1282,0.017206291052135076,322176327.0672023,1282,0.017206291052135076,322176327.0672023
supersymmetric model,1279,0.017166026720499817,321430476.1833292,1279,0.017166026720499817,321430476.1833292
finite temperature,1260,0.01691101928680983,316680526.35510224,1260,0.01691101928680983,316680526.35510224
numerical result,1193,0.016011782546955653,299921466.0939132,1193,0.016011782546955653,299921466.0939132
neutrino oscillation,1171,0.015716510781630402,294417586.32304233,1171,0.015716510781630402,294417586.32304233
invariant mass,1147,0.015394396128548312,288408688.5087587,1147,0.015394396128548312,288408688.5087587
inelastic scattering,1145,0.01536755324079147,287911822.08919746,1145,0.01536755324079147,287911822.08919746
upper bound,1127,0.015125967250979899,283401584.1565656,1127,0.015125967250979899,283401584.1565656
linear collider,1121,0.015045438587709377,281900698.16020507,1121,0.015045438587709377,281900698.16020507
scalar field,1113,0.014938067036682014,279898792.11505234,1113,0.014938067036682014,279898792.11505234
relic density,1104,0.014817274041776228,277639656.69995266,1104,0.014817274041776228,277639656.69995266
right-handed neutrino,1095,0.014696481046870444,275389552.2509464,1095,0.014696481046870444,275389552.2509464
solar neutrino,1072,0.014387787837666774,269632518.6039195,1072,0.014387787837666774,269632518.6039195
higgs mass,1027,0.013783822863137849,258356496.22209442,1027,0.013783822863137849,258356496.22209442
total cross section,813,0.013768948941304392,204696217.11175144,813,0.013768948941304392,204696217.11175144
quark-gluon plasma,1023,0.013730137087624168,257358192.2062419,1023,0.013730137087624168,257358192.2062419
other hand,1019,0.013676451312110486,256353978.076639,1019,0.013676451312110486,256353978.076639
dark matter candidate,804,0.013616525152286264,202435582.3691306,804,0.013616525152286264,202435582.3691306
light quark,956,0.012830900347769994,240565478.35334635,956,0.012830900347769994,240565478.35334635
strong coupling,938,0.012589314357958428,236053256.3546749,938,0.012589314357958428,236053256.3546749
tree level,932,0.012508785694687902,234547692.11536163,932,0.012508785694687902,234547692.11536163
electroweak symmetry,917,0.012307464036511595,230784880.70302215,917,0.012307464036511595,230784880.70302215
higher order,913,0.012253778260997914,229784582.28600606,913,0.012253778260997914,229784582.28600606
early universe,901,0.012092720934456867,226774596.19848812,901,0.012092720934456867,226774596.19848812
first time,872,0.011703499061982673,219501712.0557227,872,0.011703499061982673,219501712.0557227
matrix element,869,0.011663234730347413,218750172.06017908,869,0.011663234730347413,218750172.06017908
cosmic ray,858,0.011515598847684785,215990312.1060314,858,0.011515598847684785,215990312.1060314
atmospheric neutrino,856,0.011488755959927944,215488732.20798996,856,0.011488755959927944,215488732.20798996
qcd sum rule,665,0.011262424410784035,167533015.04913676,665,0.011262424410784035,167533015.04913676
differential cross section,660,0.011177744527996185,166275521.06595993,660,0.011177744527996185,166275521.06595993
first order,832,0.011166641306845854,209464354.56383067,832,0.011166641306845854,209464354.56383067
total cross,827,0.01109953408745375,208209607.11100852,827,0.01109953408745375,208209607.11100852
theoretical prediction,813,0.010911633873155864,204697762.0782448,813,0.010911633873155864,204697762.0782448
experimental result,803,0.01077741943437166,202188008.05960956,803,0.01077741943437166,202188008.05960956
