,term,topic,p_t_w
0,supersymmetry,42,0.31651159680275276
1,supersymmetry,60,0.28504605157702184
2,supersymmetry,64,0.1963360202803991
3,supersymmetry,11,0.12275201346946595
4,supersymmetry,34,0.051625407484217976
5,supersymmetric,64,0.3399896426807176
6,supersymmetric,42,0.2824588701613491
7,supersymmetric,60,0.23327373051428948
8,supersymmetric,11,0.08551164270809704
9,supersymmetric,34,0.04547392510943662
10,susy,37,0.7297403424194958
11,susy,64,0.1328325012375535
12,susy,60,0.08992877907544307
13,susy,51,0.08150735185958834
14,susy,42,0.07645002885861123
