,bai,centrality,ph_ph_centrality,th_th_centrality,group
1383,Fernando.Quevedo.1,0.023518249598856882,0.006797199273540337,0.021364584443114547,th
1294,D.Lust.1,0.01858058681875275,0.003186227211626768,0.019064587275711406,th
136,J.R.Ellis.1,0.014311857476175355,0.01411446558311367,0.00847568098080649,ph
3772,A.Freitas.1,0.011574698807733817,0.010150426346542485,0.007612940768816001,ph
2305,M.J.Strassler.1,0.009934633648519526,0.002597549846462603,0.008453909643178542,ph
374,Sergio.Ferrara.1,0.008919855090937626,0.0009266681420909796,0.015451344224032335,th
260,M.T.Grisaru.1,0.00837018631941796,0.002106520023912085,0.008410550220633249,th
3047,S.Heinemeyer.1,0.00833735231559225,0.008465852702814842,0.005376214545867565,ph
1904,C.S.Kim.2,0.008053585412898093,0.011467747208209419,0.0036577018311255084,ph
12,A.Masiero.1,0.008030589024970938,0.0025438012392910085,0.006735714969768443,ph
3273,A.Krause.1,0.00741032012749949,0.001086086134183037,0.006373216476310038,th
4886,G.Macorini.1,0.007344583620134609,0.0007432036384106253,0.007215870129569347,th
1293,Y.Okada.1,0.006920375680457414,0.002377606850381327,0.006746138174761999,ph
522,C.Kounnas.1,0.006693833451272622,0.001104504127567563,0.007334696010823267,th
2527,S.Stieberger.1,0.006289321058513024,0.0006633543000114587,0.007797224652339942,th
3512,M.Zagermann.1,0.006217808768857491,0.001021689450322957,0.0057675105593629076,th
2709,Bhaskar.Dutta.1,0.006027691542177883,0.006531221612466482,0.004385560146086916,ph
2302,V.V.Khoze.1,0.0059203408522320675,0.0013648973928190196,0.005272689627770073,ph
1225,H.A.Baer.1,0.005856123590708492,0.007358933051598334,0.0029259602419723627,ph
128,Gordon.L.Kane.1,0.005488936200364604,0.0013758326220701098,0.005062517277715678,ph
2061,A.Vogt.1,0.005290776040307794,0.006130777254540088,0.0030241302032548052,ph
1696,Tao.Han.1,0.005273851548650273,0.004497308144057384,0.005059706278853072,ph
1938,Hitoshi.Murayama.1,0.005104931332449144,0.0030316663070504672,0.004784172214326702,ph
593,F.del.Aguila.1,0.004802577747089117,0.002057150691461572,0.005564176917043269,ph
2300,M.A.Luty.1,0.004723309692205311,0.0020305728583474045,0.006353991271264502,ph
437,N.Ohta.1,0.004680820457653645,0.00013853253386795044,0.005945428981591061,th
4457,S.Giombi.1,0.0046743673016586985,0.0003975285513466013,0.00631412076986182,th
1818,Marcela.Carena.1,0.004363594206670554,0.005306480114898461,0.002338998827452268,ph
3215,D.Vaman.1,0.004246004403204956,0.00013788286829579727,0.005066911645713886,th
1672,R.S.Chivukula.1,0.004175355793052842,0.003490912486309659,0.002936426649648441,ph
3108,M.Roth.2,0.004129027359163131,0.007535493572968162,0.0004952082102908774,ph
705,M.E.Peskin.1,0.0041187068024142095,0.0033603032226056846,0.002873153293654826,ph
2585,L.Silvestrini.1,0.003995237333590182,0.0035194011713591757,0.003058877321176577,ph
5097,R.Essig.1,0.003867936244042345,0.0005830245110932349,0.003389063090930039,ph
1509,M.Drees.1,0.0038249157207729304,0.0036000364598626623,0.0039047237879679428,ph
1986,F.Gieres.1,0.00378143996951723,0.0026128365306105506,0.004368697282906369,th
