ngram,count,unithood
standard model,11057,0.13139521331548518
dark matter,6689,0.07948834058671253
high energy,3804,0.045204611689617945
experimental data,3788,0.045014476624677384
new physic,3334,0.03961939415698902
final state,3231,0.03839539967643417
supersymmetric standard model,2404,0.03604854183530613
heavy quark,2863,0.03402229318280131
low energy,2760,0.03279829870224646
supersymmetric standard,2448,0.029090664935905557
next-to-leading order,2397,0.028484609416407524
top quark,2347,0.02789043733846828
neutrino mass,2156,0.025620700000740352
large hadron collider,1689,0.02532694973370718
chiral symmetry,2027,0.024087736039657092
chiral perturbation theory,1577,0.02364748355835182
effective field theory,1528,0.022912717106633847
magnetic moment,1911,0.02270925681883804
perturbative qcd,1880,0.022340870130515705
large hadron,1857,0.02206755097466365
effective theory,1857,0.02206755097466365
radiative correction,1811,0.021520912662959545
heavy ion,1784,0.02120005974087235
higgs boson,1784,0.02120005974087235
heavy ion collision,1378,0.020663432050354348
good agreement,1727,0.020522703572021607
cp violation,1685,0.02002359902655264
chiral perturbation,1641,0.019500727597966103
effective field,1577,0.018740187338203866
magnetic field,1562,0.01856193571482209
finite temperature,1477,0.01755184318232537
extra dimension,1455,0.0172904074680321
scalar field,1364,0.016209014286182672
supersymmetric model,1360,0.016161480519947532
direct detection,1360,0.016161480519947532
numerical result,1328,0.015781210390066414
inelastic scattering,1273,0.015127621104333239
neutrino oscillation,1258,0.014949369480951467
linear collider,1244,0.014783001299128476
invariant mass,1236,0.014687933766658197
upper bound,1225,0.014557215909511563
right-handed neutrino,1179,0.014010577597807456
quark-gluon plasma,1167,0.013867976299102037
relic density,1160,0.01378479220819054
total cross section,905,0.013570686506219655
solar neutrino,1134,0.013475822727662134
other hand,1123,0.013345104870515496
higgs mass,1114,0.013238153896486433
dark matter candidate,858,0.012865910521918746
light quark,1057,0.012560797727635692
strong coupling,1045,0.012418196428930273
tree level,1033,0.012275595130224854
early universe,1018,0.012097343506843078
higher order,1007,0.011966625649696444
electroweak symmetry,984,0.011693306493844391
matrix element,956,0.011360570130198411
first time,947,0.011253619156169346
first order,940,0.011170435065257852
differential cross section,735,0.011021496775769555
total cross,920,0.010932766234082153
cosmic ray,920,0.010932766234082153
qcd sum rule,727,0.010901534906101315
atmospheric neutrino,915,0.010873349026288228
experimental result,893,0.01061191331199496
theoretical prediction,888,0.010552496104201035
upper limit,878,0.010433661688613186
double beta decay,671,0.010061801818423635
dark matter particle,665,0.009971830416172455
sterile neutrino,837,0.009946440584703002
lower bound,830,0.009863256493791508
theoretical uncertainty,808,0.009601820779498239
wide range,805,0.009566170454821884
yukawa coupling,791,0.009399802272998895
strong interaction,790,0.00938791883144011
higgs doublet,785,0.009328501623646185
dipole moment,784,0.009316618182087401
supersymmetric particle,770,0.009150250000264412
pseudoscalar meson,768,0.00912648311714684
strange quark,759,0.009019532143117777
recent result,757,0.008995765260000206
chemical potential,751,0.008924464610647498
angular distribution,748,0.008888814285971143
differential cross,747,0.008876930844412358
initial condition,740,0.008793746753500862
double beta,740,0.008793746753500862
qcd sum,736,0.008746212987265724
free parameter,731,0.008686795779471798
important role,721,0.008567961363883948
effective potential,719,0.008544194480766378
cosmic microwave background,561,0.008412326110485334
electromagnetic form factor,547,0.008202392838565914
quantum field theory,547,0.008202392838565914
chiral symmetry breaking,545,0.008172402371148853
electroweak scale,687,0.00816392435088526
experimental constraint,686,0.008152040909326476
radiative decay,685,0.00814015746776769
supersymmetric extension,670,0.007961905844385915
elastic scattering,669,0.007950022402827132
dark matter annihilation,524,0.007857502463269724
electric dipole moment,523,0.007842507229561193
standard model prediction,520,0.007797521528435603
electroweak symmetry breaking,517,0.0077525358273100135
direct detection experiment,515,0.007722545359892954
anomalous dimension,648,0.007700470130092648
high temperature,646,0.0076767032469750775
gauge boson,645,0.007664819805416292
quantum field,640,0.007605402597622368
transverse momentum,635,0.007545985389828443
neutrino mass matrix,503,0.007542602555390593
