ngram
black hole
scalar field
conformal field theory
conformal field
quantum field theory
effective action
boundary condition
quantum field
cosmological constant
low energy
general relativity
magnetic field
standard model
gauge theory
modulus space
finite temperature
central charge
effective field theory
gauge field
first order
anti-de sitter
angular momentum
quantum gravity
effective field
second order
effective theory
strong coupling
exact solution
heterotic string
open string
special case
n =
fixed point
supersymmetric gauge theory
dimensional reduction
effective potential
super yang-mills
extra dimension
critical point
differential equation
free energy
other hand
anomalous dimension
dark matter
scalar field theory
black hole solution
supersymmetric yang-mills
dark energy
supersymmetric gauge
supersymmetric yang-mills theory
electromagnetic field
higher order
gravitational wave
high energy
chiral symmetry
previous work
higher spin
\cal n
closed string
large class
gravitational field
superconformal field theory
massive gravity
flat space
super yang-mills theory
global symmetry
ads/cft correspondence
higher dimension
initial condition
scalar potential
critical exponent
non-abelian gauge
abelian gauge
kinetic term
supersymmetric theory
free field
space-time dimension
electric field
high temperature
superconformal field
early universe
cosmic microwave background
entanglement entropy
explicit expression
classical solution
conformal symmetry
bosonic string
cosmological model
hilbert space
new class
recent work
two-point function
upper bound
critical value
black hole entropy
energy-momentum tensor
explicit example
late time
conformal invariance
electric charge
cosmic string
spacetime dimension
minimal model
n limit
cosmic microwave
infinite number
tree level
n=4 sym
weak coupling
anti-de sitter space
chemical potential
arbitrary number
recent result
nonlinear sigma model
critical temperature
large number
previous result
einstein gravity
green function
minkowski space
arbitrary dimension
spatial dimension
quantum fluctuation
auxiliary field
numerical result
black hole horizon
gauge symmetry
heterotic string theory
inflationary model
low temperature
important role
particular case
hole solution
spontaneous symmetry
yang-mills theory
irreducible representation
complex structure
quantum correction
calabi-yau manifold
such theory
magnetic flux
integrable system
boundary state
feynman diagram
holographic model
such model
antisymmetric tensor
lower bound
cosmological perturbation
first law
first time
fundamental representation
spontaneous breaking
dirac equation
nonlinear sigma
explicit form
harmonic oscillator
analytic continuation
topological string
topological field theory
perturbative expansion
general solution
non-abelian gauge theory
new type
topological charge
einstein equation
noncommutative geometry
spectral index
higgs field
previous paper
magnetic charge
spontaneous symmetry breaking
matrix model
cosmological solution
chiral symmetry breaking
general form
non-linear sigma model
gauge group
large n
short distance
supersymmetric extension
radiative correction
black hole background
lorentz invariance
external field
present paper
gravitational theory
new result
new solution
general class
exact result
large scale
big bang
general case
internal space
quasinormal mode
dimensional regularization
gauge invariance
topological field
simple model
scalar perturbation
integrable model
free parameter
physical interpretation
finite number
discrete symmetry
effective lagrangian
cosmological constant problem
large distance
numerical simulation
physical state
wide class
supersymmetric quantum
good agreement
chiral fermion
imaginary part
dual description
closed form
dual field
dual field theory
conformal anomaly
black string
complete set
integral representation
flat spacetime
dynamical system
local operator
derivative expansion
scale factor
recent development
new method
three-point function
lowest order
stress-energy tensor
scalar curvature
classical level
near horizon
