ngram,count,unithood
standard model,12910,0.13756228865023615
dark matter,7682,0.08185542226267345
experimental data,4329,0.046127586953282125
new physic,4260,0.045392358609605415
high energy,4248,0.045264492810705124
final state,4123,0.0439325574054937
supersymmetric standard model,2596,0.0349050964711719
heavy quark,3155,0.03361804962753641
low energy,2996,0.03192382779210748
next-to-leading order,2798,0.029814042110252573
top quark,2793,0.029760764694044116
large hadron collider,2192,0.02947302444715285
supersymmetric standard,2645,0.02818375317427379
large hadron,2396,0.025530537847092624
neutrino mass,2356,0.025104318517424968
effective field theory,1763,0.023704809352340542
higgs boson,2169,0.023111743151228676
magnetic moment,2133,0.022728145754527782
perturbative qcd,2128,0.022674868338319325
chiral symmetry,2115,0.022536347056177335
chiral perturbation theory,1670,0.022454357128989626
effective theory,2015,0.021470798732008196
radiative correction,1982,0.02111916778503238
good agreement,1931,0.020575738139706118
heavy ion,1925,0.02051180524025597
heavy ion collision,1472,0.019792104008307023
cp violation,1853,0.01974461044685419
effective field,1819,0.01938232401663668
chiral perturbation,1737,0.018508574390817985
magnetic field,1646,0.017538925415824067
invariant mass,1619,0.0172512273682984
direct detection,1617,0.017229916401815017
extra dimension,1536,0.01636682225923801
numerical result,1510,0.016089779694954034
finite temperature,1500,0.01598322486253712
supersymmetric model,1469,0.015652904882044686
neutrino oscillation,1433,0.015269307485343796
scalar field,1427,0.015205374585893649
inelastic scattering,1419,0.015120130719960115
total cross section,1089,0.014642392163754311
linear collider,1344,0.014320969476833258
upper bound,1338,0.01425703657738311
right-handed neutrino,1296,0.013809506281232072
relic density,1289,0.013734917898540233
other hand,1278,0.013617707582881626
quark-gluon plasma,1243,0.013244765669422428
dark matter candidate,973,0.013082688315273594
higgs mass,1220,0.012999689554863523
first time,1211,0.012903790205688302
solar neutrino,1181,0.012584125708437558
differential cross section,925,0.01243729361935054
strong coupling,1160,0.012360360560362039
tree level,1131,0.012051351546352987
light quark,1129,0.012030040579869606
higher order,1109,0.011816930915035778
total cross,1107,0.011795619948552395
upper limit,1099,0.011710376082618863
electroweak symmetry,1093,0.011646443183168714
early universe,1069,0.01139071158536812
theoretical prediction,1049,0.011177601920534292
experimental result,1045,0.011134979987567527
matrix element,1043,0.011113669021084143
sterile neutrino,1006,0.010719416141141561
cosmic ray,1002,0.010676794208174795
qcd sum rule,792,0.010649012482730409
theoretical uncertainty,995,0.010602205825482956
atmospheric neutrino,988,0.010527617442791118
first order,975,0.010389096160649128
dark matter particle,770,0.010353206580432341
double beta decay,760,0.010218749352115038
differential cross,939,0.010005498763948236
angular distribution,937,0.009984187797464855
wide range,929,0.009898943931531323
lower bound,919,0.009792389099114408
integrated luminosity,900,0.009589934917522271
strong interaction,894,0.009526002018072124
higgs doublet,880,0.009376825252688443
supersymmetric particle,870,0.00927027042027153
dipole moment,864,0.009206337520821381
yukawa coupling,859,0.009153060104612924
recent result,852,0.009078471721921083
strange quark,839,0.008939950439779095
pseudoscalar meson,835,0.00889732850681233
double beta,835,0.00889732850681233
important role,829,0.00883339560736218
free parameter,818,0.008716185291703576
qcd sum,801,0.008535042076594822
experimental constraint,800,0.00852438659335313
standard model prediction,629,0.008457359661158367
direct detection experiment,629,0.008457359661158367
radiative decay,792,0.008439142727419599
elastic scattering,782,0.008332587895002685
initial condition,773,0.008236688545827462
transverse momentum,770,0.00820472209610239
chemical potential,767,0.008172755646377315
electromagnetic form factor,605,0.00813466231319684
electroweak scale,763,0.008130133713410549
gauge boson,759,0.008087511780443783
next-to-next-to-leading order,758,0.008076856297202091
cosmic microwave background,593,0.007973313639216075
effective potential,739,0.007874402115609955
dark matter annihilation,585,0.007865747856562234
electric dipole moment,583,0.007838856410898773
semileptonic decay,734,0.007821124699401497
initial state,732,0.007799813732918115
decay width,727,0.007746536316709658
quantum field theory,574,0.007717844905413201
electroweak symmetry breaking,570,0.007664062014086279
global fit,716,0.007629326001051051
supersymmetric extension,714,0.007608015034567669
chiral symmetry breaking,564,0.007583387677095897
neutral higgs,695,0.007405560852975532
nuclear matter,691,0.0073629389200087665
angular momentum,686,0.00730966150380031
relic abundance,684,0.007288350537316927
new particle,676,0.007203106671383396
quantum field,674,0.007181795704900012
present result,673,0.007171140221658321
electroweak precision,666,0.007096551838966481
anomalous dimension,666,0.007096551838966481
\cal o,662,0.007053929905999715
boundary condition,654,0.006968686040066184
neutrino mass matrix,518,0.006964884426836303
high temperature,653,0.006958030556824493
final state interaction,517,0.006951438704004572
electric dipole,649,0.006915408623857726
standard model higgs,514,0.006911101535509382
previous work,648,0.006904753140616036
cosmic microwave,640,0.006819509274682505
forward-backward asymmetry,640,0.006819509274682505
scalar meson,639,0.006808853791440813
large value,635,0.006766231858474047
quark mass,630,0.006712954442265591
spectral function,630,0.006712954442265591
black hole,622,0.006627710576332059
electromagnetic form,622,0.006627710576332059
unified theory,621,0.006617055093090368
future experiment,615,0.006553122193640219
grand unification,612,0.006521155743915145
same time,610,0.006499844777431762
cross section,606,0.0064572228444649965
second order,606,0.0064572228444649965
simple model,605,0.006446567361223304
heavy meson,600,0.006393289945014848
top quark mass,475,0.006386718345071899
leptonic decay,589,0.006276079629356242
effective lagrangian,589,0.006276079629356242
qcd correction,585,0.006233457696389477
experimental value,583,0.006212146729906094
third generation,581,0.006190835763422711
available data,578,0.006158869313697636
massive particle,571,0.006084280931005797
cold dark matter,452,0.006077466719942102
electroweak phase transition,447,0.00601023810578345
recent measurement,557,0.005935104165622117
chiral quark,556,0.005924448682380426
neutral higgs boson,439,0.005902672323129608
critical temperature,550,0.005860515782930277
nuclear collision,550,0.005860515782930277
experimental measurement,548,0.005839204816446895
neutral current,546,0.005817893849963512
weak interaction,546,0.005817893849963512
higgs field,543,0.005785927400238438
recent data,542,0.005775271916996746
large number,542,0.005775271916996746
such model,541,0.005764616433755055
effective action,536,0.005711339017546598
imaginary part,533,0.0056793725678215235
form factor,533,0.0056793725678215235
weak scale,532,0.005668717084579831
excited state,526,0.005604784185129683
one-loop level,522,0.005562162252162917
chiral quark model,413,0.005553083529504619
invariant mass distribution,410,0.005512746361009429
lhc energy,517,0.005508884835954461
discrete symmetry,516,0.005498229352712769
light higgs,514,0.005476918386229386
direct search,513,0.005466262902987695
scalar mass,513,0.005466262902987695
chiral phase transition,405,0.005445517746850778
light neutrino,510,0.005434296453262621
virtual photon,509,0.005423640970020929
future collider,508,0.005412985486779238
dark matter model,401,0.005391734855523856
small x,502,0.00534905258732909
higgs production,501,0.0053383971040873975
potential model,501,0.0053383971040873975
recent development,498,0.005306430654362324
proton-proton collision,498,0.005306430654362324
experimental bound,497,0.005295775171120632
indirect detection,492,0.005242497754912176
chiral limit,492,0.005242497754912176
gluon fusion,491,0.005231842271670484
experimental limit,490,0.005221186788428793
phenomenological implication,487,0.005189220338703718
quantum number,486,0.005178564855462026
electric charge,483,0.005146598405736952
short distance,482,0.005135942922495261
gravitational wave,479,0.005103976472770187
small value,474,0.00505069905656173
heavy baryon,474,0.00505069905656173
big bang,473,0.005040043573320039
hadronic collision,472,0.005029388090078347
special attention,472,0.005029388090078347
lowest order,471,0.005018732606836656
cold dark,471,0.005018732606836656
weak decay,469,0.004997421640353273
heavy quark effective theory,318,0.004963980254251029
recent progress,465,0.004954799707386507
previous study,462,0.004922833257661433
dark matter mass,366,0.004921134556413295
higgs doublet model,365,0.004907688833581564
chiral phase,460,0.004901522291178051
electroweak phase,460,0.004901522291178051
next-to-leading order qcd,364,0.004894243110749834
drell-yan process,457,0.004869555841452976
particular attention,452,0.004816278425244519
rare decay,451,0.004805622942002827
effective mass,451,0.004805622942002827
standard model particle,356,0.004786677328095992
soft gluon,446,0.0047523455257943705
supersymmetric theory,445,0.004741690042552679
deep-inelastic scattering,444,0.0047310345593109876
heavy higgs,444,0.0047310345593109876
chiral condensate,443,0.004720379076069296
symmetric model,443,0.004720379076069296
current data,438,0.0046671016598608395
previous result,437,0.004656446176619148
active neutrino,437,0.004656446176619148
lightest neutralino,436,0.0046457906933774565
new method,434,0.0046244797268940735
systematic uncertainty,434,0.0046244797268940735
new result,434,0.0046244797268940735
gauge symmetry,434,0.0046244797268940735
baryon asymmetry,433,0.004613824243652382
high precision,433,0.004613824243652382
next generation,432,0.0046031687604106905
dark matter search,340,0.004571545762788306
global analysis,429,0.004571202310685616
current status,429,0.004571202310685616
heavy neutrino,427,0.004549891344202233
detailed study,427,0.004549891344202233
higgs model,425,0.004528580377718851
scalar potential,422,0.0044966139279937764
analytic expression,420,0.0044753029615103935
composite higgs,418,0.0044539919950270105
elliptic flow,418,0.0044539919950270105
good description,418,0.0044539919950270105
detailed analysis,417,0.004443336511785319
big bang nucleosynthesis,330,0.0044370885344710035
